Iteration,Herbe,Arbres,Sauterelle,Souris,Serval,Suricate,Caracal,Guepard,Zebre,Pantherenoire,Topi,Gazelle,Lion,Gnou,Pangolin,Orycterope,Termite,Hyene,Phacochere,Fourmi,Girafe,Elephant,Vautour
0,1000000.00,800000.00,400000.00,200000.00,15000.00,30000.00,10000.00,7000.00,120000.00,6000.00,60000.00,100000.00,8000.00,80000.00,6000.00,5000.00,5000.00,1000.00,2000.00,700000.00,15000.00,8000.00,7000.00
1,1008000.00,804800.00,402800.00,200600.00,15015.00,30120.00,10020.00,7028.00,120840.00,6006.00,60300.00,100700.00,8024.00,80480.00,6012.00,5020.00,5040.00,1003.00,2008.00,705600.00,15075.00,8016.00,7028.00
2,1016064.00,809628.81,405619.59,201201.80,15030.01,30240.48,10040.04,7056.11,121685.88,6012.01,60601.50,101404.90,8048.07,80962.88,6024.02,5040.08,5080.32,1006.01,2016.03,711244.81,15150.38,8032.03,7056.11
3,1024192.50,814486.56,408458.94,201805.41,15045.04,30361.44,10060.12,7084.34,122537.69,6018.02,60904.51,102114.73,8072.22,81448.66,6036.07,5060.24,5120.96,1009.03,2024.10,716934.75,15226.13,8048.10,7084.34
4,1032386.06,819373.50,411318.16,202410.83,15060.09,30482.89,10080.24,7112.67,123395.45,6024.04,61209.03,102829.54,8096.43,81937.35,6048.14,5080.48,5161.93,1012.05,2032.19,722670.25,15302.26,8064.19,7112.67
5,1040645.13,824289.75,414197.38,203018.06,15075.15,30604.82,10100.40,7141.12,124259.22,6030.06,61515.08,103549.34,8120.72,82428.98,6060.24,5100.80,5203.23,1015.09,2040.32,728451.63,15378.77,8080.32,7141.12
6,1048970.25,829235.50,417096.75,203627.11,15090.23,30727.24,10120.60,7169.69,125129.03,6036.09,61822.65,104274.19,8145.08,82923.55,6072.36,5121.21,5244.85,1018.14,2048.48,734279.25,15455.66,8096.48,7169.69
7,1057362.00,834210.94,420016.44,204237.98,15105.32,30850.15,10140.84,7198.37,126004.94,6042.13,62131.77,105004.11,8169.52,83421.09,6084.51,5141.69,5286.81,1021.19,2056.68,740153.50,15532.94,8112.67,7198.37
8,1065820.88,839216.19,422956.56,204850.70,15120.42,30973.55,10161.12,7227.16,126886.97,6048.17,62442.43,105739.14,8194.03,83921.61,6096.67,5162.26,5329.10,1024.25,2064.90,746074.75,15610.61,8128.90,7227.16
9,1074347.50,844251.50,425917.25,205465.25,15135.54,31097.44,10181.45,7256.07,127775.18,6054.22,62754.64,106479.31,8218.61,84425.14,6108.87,5182.91,5371.74,1027.33,2073.16,752043.38,15688.66,8145.16,7256.07
10,1082942.25,849317.00,428898.66,206081.64,15150.68,31221.83,10201.81,7285.09,128669.61,6060.27,63068.41,107224.66,8243.27,84931.70,6121.09,5203.64,5414.71,1030.41,2081.46,758059.75,15767.10,8161.45,7285.09
11,1091605.75,854412.88,431900.94,206699.89,15165.83,31346.72,10222.21,7314.23,129570.30,6066.33,63383.75,107975.23,8268.00,85441.29,6133.33,5224.45,5458.03,1033.50,2089.78,764124.25,15845.94,8177.77,7314.23
12,1100338.63,859539.38,434924.25,207319.98,15180.99,31472.11,10242.66,7343.49,130477.29,6072.40,63700.67,108731.06,8292.80,85953.94,6145.59,5245.35,5501.69,1036.60,2098.14,770237.25,15925.17,8194.13,7343.49
13,1109141.38,864696.63,437968.72,207941.94,15196.17,31598.00,10263.14,7372.87,131390.63,6078.47,64019.18,109492.18,8317.68,86469.66,6157.89,5266.33,5545.71,1039.71,2106.53,776399.13,16004.79,8210.52,7372.87
14,1118014.50,869884.81,441034.50,208565.77,15211.37,31724.39,10283.67,7402.36,132310.36,6084.55,64339.27,110258.63,8342.63,86988.48,6170.20,5287.40,5590.07,1042.83,2114.96,782610.31,16084.82,8226.94,7402.36
15,1126958.63,875104.13,444121.75,209191.47,15226.58,31851.29,10304.24,7431.97,133236.53,6090.63,64660.97,111030.44,8367.66,87510.41,6182.54,5308.55,5634.79,1045.96,2123.42,788871.19,16165.24,8243.39,7431.97
16,1135974.25,880354.75,447230.59,209819.05,15241.81,31978.69,10324.84,7461.69,134169.19,6096.72,64984.27,111807.65,8392.76,88035.48,6194.91,5329.78,5679.87,1049.10,2131.91,795182.19,16246.07,8259.88,7461.69
17,1145062.00,885636.88,450361.22,210448.50,15257.05,32106.61,10345.49,7491.54,135108.38,6102.82,65309.20,112590.30,8417.94,88563.69,6207.30,5351.10,5725.31,1052.24,2140.44,801543.63,16327.30,8276.40,7491.54
18,1154222.50,890950.69,453513.75,211079.84,15272.31,32235.03,10366.19,7521.51,136054.14,6108.92,65635.74,113378.44,8443.19,89095.07,6219.71,5372.50,5771.11,1055.40,2149.00,807956.00,16408.94,8292.95,7521.51
19,1163456.25,896296.38,456688.34,211713.08,15287.58,32363.97,10386.92,7551.59,137006.52,6115.03,65963.92,114172.09,8468.52,89629.64,6232.15,5394.00,5817.28,1058.57,2157.60,814419.63,16490.98,8309.54,7551.59
20,1172763.88,901674.13,459885.16,212348.22,15302.87,32493.43,10407.69,7581.80,137965.56,6121.15,66293.74,114971.29,8493.93,90167.42,6244.61,5415.57,5863.82,1061.74,2166.23,820935.00,16573.44,8326.15,7581.80
21,1182146.00,907084.19,463104.34,212985.27,15318.17,32623.40,10428.51,7612.13,138931.33,6127.27,66625.21,115776.09,8519.41,90708.43,6257.10,5437.23,5910.73,1064.93,2174.89,827502.50,16656.30,8342.81,7612.13
22,1191603.13,912526.69,466346.06,213624.22,15333.49,32753.89,10449.36,7642.58,139903.84,6133.40,66958.34,116586.52,8544.97,91252.68,6269.62,5458.98,5958.02,1068.12,2183.59,834122.50,16739.58,8359.49,7642.58
23,1201136.00,918001.88,469610.50,214265.09,15348.82,32884.91,10470.26,7673.15,140883.17,6139.53,67293.13,117402.63,8570.60,91800.20,6282.16,5480.82,6005.68,1071.33,2192.33,840795.50,16823.28,8376.21,7673.15
24,1210745.13,923509.88,472897.78,214907.89,15364.17,33016.45,10491.20,7703.84,141869.36,6145.67,67629.59,118224.45,8596.31,92351.00,6294.72,5502.74,6053.73,1074.54,2201.10,847521.88,16907.40,8392.96,7703.84
25,1220431.13,929050.94,476208.06,215552.61,15379.53,33148.52,10512.19,7734.65,142862.44,6151.81,67967.74,119052.02,8622.10,92905.11,6307.31,5524.75,6102.16,1077.76,2209.90,854302.06,16991.94,8409.75,7734.65
26,1230194.63,934625.25,479541.53,216199.27,15394.91,33281.11,10533.21,7765.59,143862.47,6157.97,68307.58,119885.38,8647.97,93462.54,6319.93,5546.85,6150.97,1081.00,2218.74,861136.50,17076.89,8426.57,7765.59
27,1240036.13,940233.00,482898.31,216847.86,15410.31,33414.23,10554.28,7796.65,144869.50,6164.12,68649.12,120724.58,8673.91,94023.31,6332.57,5569.04,6200.18,1084.24,2227.62,868025.56,17162.28,8443.42,7796.65
28,1249956.38,945874.38,486278.59,217498.41,15425.72,33547.89,10575.38,7827.84,145883.59,6170.29,68992.36,121569.65,8699.94,94587.45,6345.23,5591.32,6249.78,1087.49,2236.53,874969.75,17248.09,8460.31,7827.84
29,1259956.00,951549.63,489682.53,218150.91,15441.14,33682.08,10596.54,7859.15,146904.78,6176.46,69337.32,122420.63,8726.04,95154.98,6357.92,5613.68,6299.78,1090.75,2245.47,881969.50,17334.33,8477.23,7859.15
30,1270035.63,957258.94,493110.31,218805.36,15456.58,33816.81,10617.73,7890.59,147933.11,6182.64,69684.01,123277.58,8752.21,95725.91,6370.64,5636.14,6350.18,1094.03,2254.45,889025.25,17421.00,8494.18,7890.59
31,1280195.88,963002.50,496562.09,219461.78,15472.04,33952.07,10638.96,7922.15,148968.64,6188.82,70032.43,124140.52,8778.47,96300.27,6383.38,5658.68,6400.98,1097.31,2263.47,896137.44,17508.11,8511.17,7922.15
32,1290437.50,968780.50,500038.03,220120.17,15487.51,34087.88,10660.24,7953.84,150011.42,6195.01,70382.59,125009.51,8804.80,96878.07,6396.14,5681.31,6452.19,1100.60,2272.53,903306.56,17595.65,8528.19,7953.84
33,1300761.00,974593.19,503538.31,220780.53,15503.00,34224.23,10681.56,7985.66,151061.50,6201.20,70734.51,125884.58,8831.22,97459.34,6408.94,5704.04,6503.81,1103.90,2281.62,910533.00,17683.63,8545.25,7985.66
34,1311167.13,980440.75,507063.09,221442.88,15518.50,34361.13,10702.93,8017.60,152118.94,6207.40,71088.18,126765.77,8857.71,98044.09,6421.75,5726.86,6555.84,1107.21,2290.74,917817.25,17772.04,8562.34,8017.60
35,1321656.50,986323.38,510612.53,222107.20,15534.02,34498.58,10724.33,8049.67,153183.77,6213.61,71443.62,127653.13,8884.29,98632.36,6434.60,5749.76,6608.28,1110.54,2299.91,925159.81,17860.90,8579.47,8049.67
36,1332229.75,992241.31,514186.81,222773.53,15549.56,34636.57,10745.78,8081.87,154256.05,6219.82,71800.84,128546.70,8910.94,99224.16,6447.47,5772.76,6661.15,1113.87,2309.10,932561.06,17950.21,8596.63,8081.87
37,1342887.63,998194.75,517786.13,223441.86,15565.11,34775.12,10767.27,8114.19,155335.84,6226.04,72159.84,129446.53,8937.67,99819.50,6460.36,5795.85,6714.44,1117.21,2318.34,940021.56,18039.96,8613.82,8114.19
38,1353630.75,1004183.94,521410.63,224112.19,15580.67,34914.22,10788.81,8146.65,156423.19,6232.27,72520.64,130352.66,8964.49,100418.41,6473.28,5819.04,6768.15,1120.56,2327.61,947541.75,18130.16,8631.05,8146.65
39,1364459.75,1010209.06,525060.50,224784.53,15596.25,35053.88,10810.38,8179.24,157518.16,6238.50,72883.24,131265.13,8991.38,101020.92,6486.23,5842.31,6822.30,1123.92,2336.93,955122.06,18220.81,8648.31,8179.24
40,1375375.38,1016270.31,528735.94,225458.89,15611.85,35194.09,10832.00,8211.96,158620.78,6244.74,73247.66,132183.98,9018.35,101627.05,6499.20,5865.68,6876.88,1127.29,2346.27,962763.06,18311.91,8665.61,8211.96
41,1386378.38,1022367.94,532437.06,226135.27,15627.46,35334.87,10853.67,8244.80,159731.13,6250.98,73613.89,133109.27,9045.41,102236.81,6512.20,5889.14,6931.89,1130.68,2355.66,970465.19,18403.47,8682.94,8244.80
